case_id,A_bytes,B_bytes,chunk_bytes,access_mode,stride_elems,outer_scale
l1h_l2h,8192,262144,32768 ,1,1,2000
l1m_l2h,32768,262144,32768 ,1,1,2000
stride_1,32768,67108864,524288,1,1,2000
l1h_stride_8,1024,67108864,524288,1,8,2000
stride_8,32768,67108864,524288,1,8,20
stride_16,32768,67108864,524288,1,16,2000
stride_32,32768,67108864,524288,1,32,2000
stride_64,32768,67108864,524288,1,64,2000
stride_8_chunk32kb,32768,67108864,32768,1,8,200
stride_16_chunk32kb,32768,67108864,32768,1,16,2000
stride_16_chunk32kb_l1h,1024,67108864,32768,1,16,2000
seq_chunk32kb,32768,67108864,32768,,200
seq_chunk32kb_l1h,1024,67108864,32768,,200
A256KB_B64MB_chunk32KB_stride_16,262144,67108864,32768,1,16,1000
A32KB_B64MB_chunk32KB_stride_16,32768,67108864,32768,1,16,200
A16KB_B64MB_chunk32KB_stride_16,16384,67108864,32768,1,16,200
A128KB_B64MB_chunk32KB_stride_16,131072,67108864,32768,1,16,200
A16KB_B64MB_chunk32KB_stride_1,16384,67108864,32768,1,1,200
A16KB_B64MB_chunk32KB_stride_8,16384,67108864,32768,1,8,200
A16KB_B64MB_chunk32KB_stride_32,16384,67108864,32768,1,32,200
A64KB_B64MB_chunk32KB_stride_16,65536,67108864,32768,1,16,200
A64KB_B64MB_chunk32KB_stride_1,65536,67108864,32768,1,1,200
A64KB_B64MB_chunk32KB_stride_16_2K,65536,67108864,32768,1,16,2000
A64KB_B64MB_chunk32KB_stride_1_2K,65536,67108864,32768,1,1,2000
A64KB_B64MB_chunk32KB_stride_16_1,65536,67108864,32768,1,16,1
A64KB_B64MB_chunk32KB_stride_16_2,65536,67108864,32768,1,16,2
A64KB_B64MB_chunk32KB_stride_16_5,65536,67108864,32768,1,16,5
A64KB_B64MB_chunk32KB_stride_1_2,65536,67108864,32768,1,1,2
